table	exact_rows
visit	253774
sale	112941
sale_line	73471
customer	25099
membership	15208
session	9860
knowledge_claim	1007
product	731
booking	205
stock_event	196
staff	173
inventory_level	148
package	96
barcode	46
uvalux_catalog_item	40
consent_profile	22
salon	22
gift_card	18
consent_audit_entry	13
org	13
account	12
signal_snapshot	12
contact_log	11
_prisma_migrations	9
equipment_device	8
room	8
waiver_signature	8
campaign	7
room_type	7
service	7
app_log	6
playbook	6
segment	6
activity_event	5
insight	5
knowledge_claim_event	4
coaching_request	3
daybreak_brief	3
demo_state	1
draft_order	1
draft_order_line	1
knowledge_chunk	0
knowledge_doc	0
shift_handoff	0
