#task	lane	target	gate	weight
01-action-row	big	packages/ui/src/components/ActionRow.tsx	tsx	light
02-opportunity-card	big	packages/ui/src/components/OpportunityCard.tsx	tsx	heavy
03-sms-preview	big	packages/ui/src/components/SmsPreviewCard.tsx	tsx	medium
04-email-preview	small	packages/ui/src/components/EmailPreviewCard.tsx	tsx	light
05-social-post	big	packages/ui/src/components/SocialPostCard.tsx	tsx	medium
06-staff-task	small	packages/ui/src/components/StaffTaskCard.tsx	tsx	light
07-desk-script	big	packages/ui/src/components/FrontDeskScriptCard.tsx	tsx	medium
08-staff-challenge	big	packages/ui/src/components/StaffChallengeCard.tsx	tsx	medium
09-outcome-card	big	packages/ui/src/components/OutcomeCard.tsx	tsx	medium
10-handle-it	big	packages/ui/src/components/HandleItPlanCard.tsx	tsx	medium
11-listener-status	big	packages/ui/src/components/ListenerStatusCard.tsx	tsx	medium
12-interaction-card	big	packages/ui/src/components/InteractionCard.tsx	tsx	heavy
13-employee-table	big	packages/ui/src/components/EmployeeSalesTable.tsx	tsx	medium
14-monitor-insight	big	packages/ui/src/components/MonitorInsightCard.tsx	tsx	light
15-consent-pledge	big	packages/ui/src/components/ConsentPledgeCard.tsx	tsx	light
16-opportunity-feed	big	packages/ui/src/components/OpportunityFeedSection.tsx	tsx	heavy
17-monitor-surface	big	packages/ui/src/components/MonitorSurface.tsx	tsx	heavy
18-opportunity-fixtures	big	packages/core/src/opportunities/fixtures.ts	fixture	heavy
19-monitor-fixtures	big	packages/core/src/monitor/fixtures.ts	fixture	heavy
20-vo-script-v3	big	promo/VO-SCRIPT-V3.md	md	heavy
21-shot-plan-v3	big	promo/SHOT-PLAN-V3.md	md	heavy
