#task	lane	target	gate	weight
09-proposal-html	big	docs/pitch/PROPOSAL-NICK.html	html	heavy
10-vo-script	big	promo/VO-SCRIPT-V2.md	md	heavy
08-chunker	big	packages/core/src/knowledge/chunk.ts	ts	heavy
11-sweep-tenure	big	packages/core/src/insights/sweeps/tenure.ts	sweep	heavy
12-sweep-seasonal-pause	big	packages/core/src/insights/sweeps/seasonal-pause.ts	sweep	heavy
14-sweep-category-gap	big	packages/core/src/insights/sweeps/category-gap.ts	sweep	heavy
16-sweep-upgrade-headroom	big	packages/core/src/insights/sweeps/upgrade-headroom.ts	sweep	medium
13-sweep-bottle	big	packages/core/src/insights/sweeps/bottle.ts	sweep	medium
15-sweep-first-visit	big	packages/core/src/insights/sweeps/first-visit.ts	sweep	medium
03-health-grid	big	packages/ui/src/components/HealthGrid.tsx	tsx	medium
04-slipping-list	big	packages/ui/src/components/SlippingList.tsx	tsx	medium
06-cohort-table	big	packages/ui/src/components/CohortTable.tsx	tsx	medium
07-citation-card	big	packages/ui/src/components/CitationCard.tsx	tsx	medium
01-band-chip	small	packages/ui/src/components/BandChip.tsx	tsx	light
05-metric-tile	small	packages/ui/src/components/MetricTile.tsx	tsx	light
02-health-band-tiles	small	packages/ui/src/components/HealthBandTiles.tsx	tsx	light
17-shot-plan	big	promo/SHOT-PLAN-V2.md	md	heavy
18-payback-calculator	big	docs/pitch/PAYBACK-CALCULATOR.html	calc	heavy
19-sample-report	big	docs/pitch/SAMPLE-SALON-REPORT.html	html	heavy
20-wilfred-packet	big	docs/pitch/TECHNICAL-PACKET.md	md	heavy
21-fences	big	docs/pitch/FENCES.md	md	medium
22-community-feed	small	packages/ui/src/components/CommunityFeed.tsx	tsx	medium
23-kb-migration	big	packages/db/prisma/migrations/20260820000000_knowledge_base/migration.sql	sql	heavy
24-kb-retrieve	big	packages/core/src/knowledge/retrieve.ts	ts2	heavy
25-tenure-server	big	packages/core/src/metrics/membership.ts	ts2	heavy
26-kb-embed-script	big	packages/db/scripts/knowledge/embed.ts	script	heavy
